Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central African Republic,GDP (current US$),1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,"851174357,3",1115389674,1007791127,"937741512,4","967338390,4","999477510,7","916777282,7","932648604,4","996068145,6",1142315522,1272360517,1337894380,1461859763,1699811293,1993407887,2067381664,2142591539,2437982707,2510126510,1691544111,1894813390,1695825714,1825018144,2072349974,2220979145,2221301351,2326720902,2516498412,2382618615
Chad,GDP (current US$),1482597299,1433686310,1738605558,1877137983,1881847671,1463251161,1179837964,1445919895,1607345355,1544689576,1744794532,1534673583,1388506772,1710843376,1997005710,2742815071,4422855658,6649307528,7428701455,8650137735,10393833755,9290728312,10668103549,12172308858,12367362746,12953534870,13940767222,10950392257,10097778097,10000394388,11239167890,11314951088,10715396051,11779981332,12704149842
Chile,GDP (current US$),26040052657,29885218682,33113525804,37835245156,45964855774,49298281356,57008877553,73446446283,78575020639,85728899954,81995749804,75596598517,78249883996,71517267768,70295232513,76507853876,99079365628,122314960844,153840051814,172565861849,179663390875,171412643624,217105434200,251224856981,267175870678,277239473854,259405194673,242496655712,249298706449,276364936832,295402646018,278493308134,254096103516,316713577509,301025249438
China,GDP (current US$),312353631208,347768051312,360857912566,383373318084,426915712716,444731282436,564321876346,734484863889,863749314719,961602019651,1029060706188,1094010482677,1211331627479,1339400843165,1470557565966,1660280610710,1955346808095,2285961242870,2752118542130,3550327569655,4594336785738,5101691085626,6087191720867,7551545321800,8532185615747,9570470577245,10475624783236,11061573199440,11233314018690,12310491176727,13894907485399,14279968485748,14687743556970,17820459342451,17963170521080
Colombia,GDP (current US$),39212550050,39540080200,47844090710,49637993949,58394443349,66474101329,81705497617,92495970511,97153389011,106656492325,98486358604,86278947621,99875074935,98200641189,97945812790,94644969146,117092416651,145600527536,161792959248,206229536758,242504150473,232468666665,286498534095,334966134865,370691143087,382093697078,381240864422,293492370229,282720100286,311866875136,334198218101,323031701211,270150956773,318511813577,343939445259
Comoros,GDP (current US$),"356500032,8","341476768,1",429622178,"424108769,1","457388651,9","452881475,1","319189184,3","398461796,7","396053806,4","364445600,1",370106746,"382454989,9","351136579,8","378512024,1","425964681,1","546885223,2","633706110,4","653845169,2","698431794,5","795673153,2","915659107,8",905341174,"907978731,7",1023086273,1015843491,1116224107,1149587660,"966029599,8",1012835493,1077439756,1188797450,1195019531,1225039196,1296089479,1242519407
"Congo, Dem. Rep.",GDP (current US$),8861299977,9021862775,9349764580,9625436873,8227343907,10706259937,5820382248,5643439376,5771454940,6090840548,6217806273,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484458,14451901696,16737071816,19788515579,18648372545,21565721036,25839749199,29306235295,32679745036,35909040944,37917706486,37134801549,38019264805,47568210021,51775829869,48716961865,55350968593,58065953573
"Congo, Rep.",GDP (current US$),2212536313,2389593022,2798746051,2724853508,2933222706,2684323618,1769365439,2116003868,2540697538,2322719101,1949481381,2354772959,3227927697,2796704603,3034250926,3503723087,4656974938,6650001685,8072305031,8782703428,11649857662,9723299908,13148396206,15655383586,17692911281,17958720704,17912907682,11890259177,10219341017,11094823677,13670038020,12750338736,10483151094,13366230821,14615532210
Costa Rica,GDP (current US$),4614629898,5251025767,5711687787,7196276092,8564041895,9582868510,10486787030,11578594260,11678424507,12614602382,13684255947,14254866281,15013629659,15976174337,16578820687,17271760507,18610594846,20040642477,22715540324,26884700345,30801744881,30745714327,37658614803,42762613706,47231655433,50949668886,52016408924,56441920824,58847019585,60516044623,62420164965,64417670556,62395610764,64616482168,68380838316
Cote d'Ivoire,GDP (current US$),10255169812,9757410630,10795850585,10492628588,11152971284,11045760269,8313557515,11000146269,18071152821,18047558027,19619654770,18870992456,16577533892,16810537038,18054383334,21251754335,23510575669,24036918719,25281413268,28760090924,34078240260,33886813225,34936307964,36693710822,36302302844,42760235496,48843005625,45815005171,48407761032,52512344034,58522477745,59898479821,62982768372,71811075955,70018715017
Croatia,GDP (current US$),,,,,,,,22778305790,24147539210,24172608178,25885225294,23770159784,22128719418,23063323723,26757255952,35254833028,41855265955,45025328214,49532592593,59172904661,68342061762,61941466003,58693611581,62599775593,57231455635,59363124069,59214461630,50742086223,52391038979,55937483558,61330483610,61329267533,57624938982,68843674641,70964606465
Cuba,GDP (current US$),27458999472,27023468666,28645436569,24316556026,22085858243,22367254865,28448326757,30429803651,25017368700,25365908100,25736331200,28364615200,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,48835925926,54262870370,56302129630,57481481481,59562962963,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000,,
Cyprus,GDP (current US$),4278792597,4563482604,5591130218,5770197348,6912150456,6590291048,7425703929,9933133247,10011918444,9547818700,10248617647,10497908306,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25799940416,27641551809,25047433100,23959708956,23225912183,19909269065,21046452117,22946583376,25597301191,25945194240,25008266159,28408064462,28439052741
Czech Republic,GDP (current US$),,,40728950705,29859921159,34805013230,40866982340,47850065329,60145663259,67388492014,62180519006,66807498696,65173036731,61823494487,67808695574,82196206090,100090467581,119814667458,137143375920,156264210926,190184113270,236816948160,207434296805,209069940963,229562733399,208857719321,211685616593,209358834156,188033050460,196272068576,218628940952,249000540729,252548179965,245974558654,281791218507,290923534701
Denmark,GDP (current US$),115552417469,112409606610,138248216615,139225595727,152914810033,143194762032,156163573390,185007982281,187633263193,173538719989,176991230634,177964167947,164157842127,164791096044,178634843166,218096916362,251374821136,264466895451,282885978374,319423375611,353358901702,321243301145,321995279402,344003137611,327148943812,343584391648,352993631618,302673070847,313115929314,332121063806,356841216410,346498737962,355222449505,398303272764,395403906582
